Harvest_Date,Location,Soil_Type,Avg_Temp_C,Avg_Rain_mm,Avg_Humidity,Yield_kg
2000-04-08,Block_B_Valley,Clay Loam,26.4,156.3,87.9,13083
2000-04-10,Block_A_North,Sandy Loam,28.5,179.9,90.6,13934
2000-04-12,Block_B_Valley,Clay Loam,26.4,203.0,79.5,13305
2000-04-13,Block_D_River,Alluvial,26.2,197.1,83.6,14092
2000-04-15,Block_C_Hill,Laterite,29.7,212.2,81.0,11667
2000-04-17,Block_B_Valley,Clay Loam,29.2,216.6,76.6,11230
2000-04-18,Block_A_North,Sandy Loam,28.0,177.7,76.1,13707
2000-04-19,Block_A_North,Sandy Loam,28.9,199.2,77.7,12731
2000-04-21,Block_B_Valley,Clay Loam,27.8,186.7,74.3,13767
2000-04-22,Block_D_River,Alluvial,29.9,206.7,82.9,11721
2000-04-23,Block_C_Hill,Laterite,28.1,193.2,74.5,12007
2000-04-25,Block_C_Hill,Laterite,26.8,183.6,78.1,14062
2000-04-27,Block_D_River,Alluvial,28.8,201.9,83.2,12034
2000-04-29,Block_B_Valley,Clay Loam,28.7,232.4,77.8,11871
2000-04-30,Block_A_North,Sandy Loam,30.6,149.4,81.3,13248
2000-05-01,Block_B_Valley,Clay Loam,27.4,168.2,75.9,12519
2000-05-02,Block_C_Hill,Laterite,26.6,151.1,67.5,13349
2000-05-04,Block_D_River,Alluvial,25.8,202.4,78.8,13361
2000-05-06,Block_C_Hill,Laterite,26.4,175.8,69.0,14244
2000-05-07,Block_B_Valley,Clay Loam,28.2,159.4,72.6,11910
2000-05-09,Block_B_Valley,Clay Loam,27.6,189.0,81.1,12659
2000-05-10,Block_C_Hill,Laterite,29.3,180.4,72.5,11810
2000-05-12,Block_B_Valley,Clay Loam,29.7,168.6,74.7,12154
2000-05-14,Block_A_North,Sandy Loam,27.2,176.4,81.3,14297
2000-05-16,Block_A_North,Sandy Loam,28.4,133.1,71.7,14111
2000-05-18,Block_D_River,Alluvial,26.8,114.3,82.6,14133
2000-05-20,Block_D_River,Alluvial,27.0,169.7,80.1,12958
2000-05-21,Block_B_Valley,Clay Loam,27.4,148.6,81.7,13243
2000-05-22,Block_C_Hill,Laterite,27.7,167.9,77.4,13319
2000-05-23,Block_C_Hill,Laterite,25.1,145.1,76.3,15338
2000-05-25,Block_D_River,Alluvial,26.5,151.7,81.7,13328
2000-05-27,Block_B_Valley,Clay Loam,28.6,140.2,63.2,13057
2000-05-29,Block_B_Valley,Clay Loam,29.5,151.9,75.4,12147
2000-05-30,Block_A_North,Sandy Loam,26.5,222.4,79.7,14510
2000-05-31,Block_D_River,Alluvial,26.7,129.3,83.6,13648
2000-06-02,Block_D_River,Alluvial,26.1,88.0,84.0,14145
2000-06-04,Block_C_Hill,Laterite,25.6,125.7,75.8,15870
2000-06-05,Block_C_Hill,Laterite,21.4,125.9,72.6,13134
2000-06-07,Block_D_River,Alluvial,24.5,112.4,69.0,13847
2000-06-09,Block_B_Valley,Clay Loam,24.5,115.8,71.0,15056
2000-06-10,Block_C_Hill,Laterite,25.6,135.8,71.6,15605
2000-06-12,Block_C_Hill,Laterite,25.8,107.6,65.9,15491
2000-06-14,Block_B_Valley,Clay Loam,23.1,138.2,68.6,13407
2000-06-16,Block_C_Hill,Laterite,27.8,115.1,69.2,13228
2000-06-17,Block_B_Valley,Clay Loam,23.6,122.8,66.5,14112
2000-06-18,Block_B_Valley,Clay Loam,25.8,121.2,66.0,14608
2000-06-20,Block_C_Hill,Laterite,25.4,127.7,61.0,15521
2000-06-21,Block_B_Valley,Clay Loam,25.5,132.6,65.2,13593
2000-06-22,Block_A_North,Sandy Loam,26.5,132.4,68.1,15911
2000-06-23,Block_A_North,Sandy Loam,25.1,78.7,70.6,14677
2000-06-24,Block_A_North,Sandy Loam,26.5,122.2,71.8,15342
2000-06-26,Block_B_Valley,Clay Loam,27.6,119.1,69.3,13662
2000-06-28,Block_A_North,Sandy Loam,25.5,134.2,63.1,15447
2000-06-29,Block_D_River,Alluvial,26.1,123.0,72.1,14313
2000-07-01,Block_C_Hill,Laterite,20.7,88.1,56.3,12468
2000-07-02,Block_B_Valley,Clay Loam,22.2,73.8,66.1,13568
2000-07-03,Block_A_North,Sandy Loam,23.7,80.8,68.3,15052
2000-07-05,Block_C_Hill,Laterite,20.2,109.8,66.3,13299
2000-07-07,Block_B_Valley,Clay Loam,25.0,58.7,65.9,15413
2000-07-09,Block_B_Valley,Clay Loam,23.1,114.0,68.0,13781
2000-07-11,Block_A_North,Sandy Loam,23.9,97.9,56.2,14712
2000-07-13,Block_B_Valley,Clay Loam,21.6,61.3,65.6,13067
2000-07-15,Block_A_North,Sandy Loam,19.6,86.6,61.3,13799
2000-07-16,Block_C_Hill,Laterite,22.6,89.1,61.1,13945
2000-07-17,Block_B_Valley,Clay Loam,19.3,102.1,63.3,12845
2000-07-19,Block_C_Hill,Laterite,21.7,59.6,54.3,13891
2000-07-21,Block_B_Valley,Clay Loam,22.0,90.6,63.9,13728
2000-07-23,Block_D_River,Alluvial,22.6,105.7,60.7,13778
2000-07-25,Block_C_Hill,Laterite,20.8,95.2,53.9,12948
2000-07-27,Block_A_North,Sandy Loam,24.5,79.2,69.8,15408
2000-07-29,Block_B_Valley,Clay Loam,22.3,59.5,60.8,13833
2000-07-30,Block_C_Hill,Laterite,20.1,67.8,67.8,12912
2000-08-01,Block_D_River,Alluvial,20.7,52.6,59.9,13192
2000-08-03,Block_B_Valley,Clay Loam,20.7,51.5,64.7,12727
2000-08-04,Block_B_Valley,Clay Loam,20.3,63.4,63.9,11843
2000-08-05,Block_D_River,Alluvial,20.6,74.1,64.5,12233
2000-08-06,Block_B_Valley,Clay Loam,23.1,83.0,54.2,14155
2000-08-08,Block_C_Hill,Laterite,17.8,59.2,59.6,11332
2000-08-09,Block_A_North,Sandy Loam,18.1,31.4,69.1,13382
2000-08-10,Block_D_River,Alluvial,20.1,76.4,57.3,12148
2000-08-11,Block_A_North,Sandy Loam,21.4,53.2,64.2,13275
2000-08-13,Block_C_Hill,Laterite,19.8,36.0,61.8,12729
2000-08-15,Block_C_Hill,Laterite,22.5,43.2,61.5,13321
2000-08-17,Block_C_Hill,Laterite,21.6,13.6,52.5,12268
2000-08-18,Block_D_River,Alluvial,19.0,22.2,63.3,11522
2000-08-20,Block_C_Hill,Laterite,23.0,31.1,66.1,14525
2000-08-22,Block_D_River,Alluvial,19.1,66.7,62.5,11614
2000-08-23,Block_A_North,Sandy Loam,21.2,56.9,64.5,14590
2000-08-24,Block_C_Hill,Laterite,20.9,90.9,58.9,13477
2000-08-25,Block_B_Valley,Clay Loam,19.8,52.5,58.8,12724
2000-08-27,Block_A_North,Sandy Loam,20.4,26.9,66.6,12791
2000-08-29,Block_D_River,Alluvial,19.5,63.5,67.9,11942
2000-08-30,Block_A_North,Sandy Loam,22.1,42.9,55.9,14000
2000-08-31,Block_B_Valley,Clay Loam,21.9,80.5,61.3,13588
2000-09-02,Block_A_North,Sandy Loam,20.6,30.7,71.0,13084
2000-09-04,Block_B_Valley,Clay Loam,19.1,12.1,49.6,10821
2000-09-05,Block_C_Hill,Laterite,20.5,40.5,61.4,13595
2000-09-06,Block_D_River,Alluvial,20.8,15.2,61.1,11696
2000-09-07,Block_D_River,Alluvial,19.4,20.9,48.7,11734
2000-09-08,Block_B_Valley,Clay Loam,22.9,43.1,50.5,12347
2000-09-09,Block_A_North,Sandy Loam,20.0,24.1,53.8,11887
2000-09-11,Block_B_Valley,Clay Loam,19.0,35.2,58.3,11708
2000-09-13,Block_B_Valley,Clay Loam,18.6,52.8,55.9,10876
2000-09-14,Block_C_Hill,Laterite,19.9,35.9,65.4,12327
2000-09-16,Block_C_Hill,Laterite,20.3,57.0,58.9,13065
2000-09-18,Block_A_North,Sandy Loam,19.7,46.5,71.0,13348
2000-09-20,Block_B_Valley,Clay Loam,19.1,62.3,56.6,11701
2000-09-22,Block_C_Hill,Laterite,17.9,22.8,60.0,11528
2000-09-23,Block_C_Hill,Laterite,19.0,46.6,61.4,11465
2000-09-25,Block_B_Valley,Clay Loam,16.7,46.2,49.0,9911
2000-09-26,Block_D_River,Alluvial,19.5,63.8,65.8,11510
2000-09-28,Block_C_Hill,Laterite,21.1,35.0,61.1,12891
2000-09-29,Block_D_River,Alluvial,19.5,33.5,55.8,11403
2000-10-01,Block_A_North,Sandy Loam,16.8,23.7,65.8,11011
2000-10-03,Block_C_Hill,Laterite,23.3,40.9,62.6,14220
2000-10-04,Block_A_North,Sandy Loam,20.7,60.9,61.6,13417
2000-10-06,Block_D_River,Alluvial,19.9,37.3,63.7,11055
2000-10-08,Block_C_Hill,Laterite,24.1,80.7,58.7,15596
2000-10-10,Block_A_North,Sandy Loam,23.5,72.8,58.0,14814
2000-10-11,Block_C_Hill,Laterite,23.4,78.4,53.1,14827
2000-10-13,Block_C_Hill,Laterite,22.3,58.4,55.7,13571
2000-10-14,Block_D_River,Alluvial,21.4,16.2,62.4,12515
2000-10-15,Block_C_Hill,Laterite,19.9,40.7,64.4,11543
2000-10-16,Block_B_Valley,Clay Loam,21.8,58.7,68.8,12370
2000-10-18,Block_D_River,Alluvial,20.5,15.5,62.2,11408
2000-10-19,Block_C_Hill,Laterite,20.5,86.7,65.9,13236
2000-10-21,Block_B_Valley,Clay Loam,20.2,66.3,66.7,12599
2000-10-23,Block_C_Hill,Laterite,19.9,58.6,62.5,12234
2000-10-24,Block_C_Hill,Laterite,23.0,35.4,67.1,14597
2000-10-26,Block_D_River,Alluvial,18.8,20.3,57.6,10727
2000-10-28,Block_D_River,Alluvial,21.2,42.1,60.1,11872
2000-10-29,Block_D_River,Alluvial,24.1,43.9,61.1,13739
2000-10-31,Block_B_Valley,Clay Loam,21.0,42.3,65.0,11730
2000-11-01,Block_A_North,Sandy Loam,22.6,103.5,63.9,14381
2000-11-03,Block_C_Hill,Laterite,21.9,79.1,67.4,13909
2000-11-05,Block_D_River,Alluvial,22.9,74.3,64.6,13607
2000-11-07,Block_B_Valley,Clay Loam,24.0,92.0,76.2,14362
2000-11-09,Block_C_Hill,Laterite,22.3,91.5,63.7,13977
2000-11-11,Block_B_Valley,Clay Loam,24.0,88.6,71.0,14348
2000-11-13,Block_D_River,Alluvial,24.3,50.6,66.0,14111
2000-11-14,Block_C_Hill,Laterite,22.6,81.8,60.3,13705
2000-11-15,Block_C_Hill,Laterite,23.6,70.3,64.7,14334
2000-11-16,Block_A_North,Sandy Loam,21.7,89.7,74.9,14143
2000-11-18,Block_D_River,Alluvial,23.0,62.3,65.4,14299
2000-11-20,Block_B_Valley,Clay Loam,20.7,69.1,60.5,12403
2000-11-22,Block_A_North,Sandy Loam,24.0,92.7,69.8,15301
2000-11-23,Block_A_North,Sandy Loam,23.0,92.6,60.7,14356
2000-11-24,Block_A_North,Sandy Loam,21.3,76.3,71.2,14211
2000-11-26,Block_B_Valley,Clay Loam,20.3,51.3,62.9,12762
2000-11-27,Block_C_Hill,Laterite,22.2,80.2,62.3,13752
2000-11-29,Block_C_Hill,Laterite,21.8,79.3,62.8,13778
2000-12-01,Block_B_Valley,Clay Loam,25.4,126.5,70.4,14264
2000-12-02,Block_B_Valley,Clay Loam,27.1,109.8,74.3,13836
2000-12-04,Block_D_River,Alluvial,23.9,123.6,68.9,14289
2000-12-06,Block_A_North,Sandy Loam,25.6,76.3,73.3,15422
2000-12-07,Block_B_Valley,Clay Loam,25.7,93.2,77.0,14898
2000-12-09,Block_D_River,Alluvial,24.6,127.2,69.1,12990
2000-12-11,Block_A_North,Sandy Loam,27.5,127.1,79.3,15056
2000-12-13,Block_B_Valley,Clay Loam,26.0,55.1,72.1,14113
2000-12-15,Block_D_River,Alluvial,23.5,148.4,76.3,14080
2000-12-16,Block_B_Valley,Clay Loam,24.6,91.1,64.7,15559
2000-12-18,Block_D_River,Alluvial,25.4,142.8,72.9,14724
2000-12-20,Block_C_Hill,Laterite,26.1,115.9,74.6,15538
2000-12-22,Block_B_Valley,Clay Loam,24.6,139.7,71.9,14823
2000-12-24,Block_B_Valley,Clay Loam,26.7,136.5,65.1,13385
2000-12-25,Block_B_Valley,Clay Loam,27.4,110.2,66.9,13292
2000-12-26,Block_C_Hill,Laterite,25.4,123.9,66.0,15595
2000-12-28,Block_A_North,Sandy Loam,24.8,129.5,63.5,14223
2000-12-30,Block_C_Hill,Laterite,25.9,140.7,64.9,14809
2000-12-31,Block_C_Hill,Laterite,25.4,117.8,67.6,14371
2001-01-01,Block_D_River,Alluvial,28.5,139.7,79.1,13650
2001-01-03,Block_B_Valley,Clay Loam,27.5,157.3,77.9,13700
2001-01-04,Block_A_North,Sandy Loam,29.1,169.6,85.6,12471
2001-01-05,Block_B_Valley,Clay Loam,25.2,140.9,64.8,13253
2001-01-07,Block_A_North,Sandy Loam,25.5,191.8,66.7,14951
2001-01-09,Block_B_Valley,Clay Loam,27.0,121.2,80.5,13376
2001-01-10,Block_B_Valley,Clay Loam,26.9,166.2,71.7,13448
2001-01-11,Block_D_River,Alluvial,25.8,135.3,80.1,15170
2001-01-12,Block_B_Valley,Clay Loam,26.0,165.1,68.3,13280
2001-01-14,Block_D_River,Alluvial,24.8,140.7,65.9,15818
2001-01-16,Block_D_River,Alluvial,27.0,159.1,82.6,13820
2001-01-17,Block_D_River,Alluvial,29.5,142.1,74.6,11784
2001-01-19,Block_B_Valley,Clay Loam,28.7,210.0,71.4,12927
2001-01-21,Block_D_River,Alluvial,29.0,153.6,72.7,12397
2001-01-23,Block_A_North,Sandy Loam,24.3,148.4,70.1,14958
2001-01-25,Block_D_River,Alluvial,27.6,170.0,67.4,12959
2001-01-26,Block_C_Hill,Laterite,27.8,134.7,83.1,13612
2001-01-28,Block_C_Hill,Laterite,28.9,157.3,72.5,13384
2001-01-30,Block_B_Valley,Clay Loam,26.3,183.3,80.3,13899
2001-02-01,Block_C_Hill,Laterite,26.3,211.8,81.7,13961
2001-02-03,Block_C_Hill,Laterite,31.7,209.3,78.1,10818
2001-02-04,Block_B_Valley,Clay Loam,28.0,177.5,72.9,12451
2001-02-05,Block_C_Hill,Laterite,24.8,229.0,79.4,13866
2001-02-07,Block_D_River,Alluvial,31.2,210.3,76.9,10631
2001-02-08,Block_A_North,Sandy Loam,31.1,207.3,81.7,12539
2001-02-10,Block_A_North,Sandy Loam,28.5,205.7,78.7,13178
2001-02-12,Block_A_North,Sandy Loam,28.7,211.9,86.2,13955
2001-02-13,Block_A_North,Sandy Loam,27.1,189.1,79.4,14051
2001-02-14,Block_A_North,Sandy Loam,30.3,203.9,77.1,12792
2001-02-16,Block_C_Hill,Laterite,32.4,226.1,83.8,11272
2001-02-17,Block_B_Valley,Clay Loam,29.8,225.3,78.9,10334
2001-02-18,Block_C_Hill,Laterite,30.6,196.6,90.6,12667
2001-02-19,Block_B_Valley,Clay Loam,27.6,200.9,80.9,13063
2001-02-20,Block_A_North,Sandy Loam,27.9,223.2,71.2,13476
2001-02-21,Block_D_River,Alluvial,26.2,191.6,69.5,14108
2001-02-23,Block_D_River,Alluvial,28.5,183.1,69.2,11970
2001-02-24,Block_C_Hill,Laterite,29.7,168.3,77.3,11885
2001-02-25,Block_D_River,Alluvial,32.0,192.5,80.0,10971
2001-02-27,Block_B_Valley,Clay Loam,29.9,170.5,77.9,11225
2001-03-01,Block_B_Valley,Clay Loam,27.7,198.2,77.7,13330
2001-03-03,Block_B_Valley,Clay Loam,31.1,220.8,95.9,11621
2001-03-05,Block_D_River,Alluvial,31.3,214.7,87.3,9649
2001-03-06,Block_B_Valley,Clay Loam,29.9,201.3,69.0,11450
2001-03-08,Block_B_Valley,Clay Loam,31.7,197.9,84.0,10439
2001-03-09,Block_B_Valley,Clay Loam,29.7,213.3,80.4,11148
2001-03-11,Block_B_Valley,Clay Loam,30.8,185.8,86.1,11082
2001-03-12,Block_D_River,Alluvial,30.3,201.8,72.5,11601
2001-03-14,Block_D_River,Alluvial,29.5,199.4,82.6,11963
2001-03-15,Block_B_Valley,Clay Loam,29.8,212.4,85.1,12060
2001-03-17,Block_B_Valley,Clay Loam,30.3,240.9,77.8,10755
2001-03-19,Block_C_Hill,Laterite,29.8,190.0,89.3,12736
2001-03-20,Block_B_Valley,Clay Loam,29.3,204.2,83.0,11934
2001-03-22,Block_B_Valley,Clay Loam,29.4,185.9,75.9,11287
2001-03-24,Block_A_North,Sandy Loam,33.4,198.9,80.2,11019
2001-03-25,Block_B_Valley,Clay Loam,29.7,232.6,83.0,11829
2001-03-26,Block_C_Hill,Laterite,28.2,172.6,77.4,13755
2001-03-27,Block_A_North,Sandy Loam,27.0,210.7,80.7,14107
2001-03-28,Block_A_North,Sandy Loam,30.3,222.4,77.4,11915
2001-03-30,Block_C_Hill,Laterite,29.8,218.5,78.7,11776
2001-03-31,Block_D_River,Alluvial,30.3,170.1,86.1,11568
2001-04-01,Block_B_Valley,Clay Loam,29.4,187.1,85.0,12636
2001-04-03,Block_D_River,Alluvial,26.6,160.6,73.6,13697
2001-04-04,Block_D_River,Alluvial,28.3,166.1,82.6,13656
2001-04-06,Block_C_Hill,Laterite,26.4,219.0,74.9,14033
2001-04-08,Block_B_Valley,Clay Loam,29.0,225.3,77.6,11012
2001-04-10,Block_C_Hill,Laterite,28.4,189.2,80.5,12275
2001-04-12,Block_A_North,Sandy Loam,29.1,167.3,74.5,12980
2001-04-14,Block_C_Hill,Laterite,27.5,186.6,86.4,13108
2001-04-15,Block_B_Valley,Clay Loam,28.7,176.4,80.1,12918
2001-04-17,Block_B_Valley,Clay Loam,29.1,169.6,81.3,13258
2001-04-19,Block_D_River,Alluvial,29.6,190.4,81.8,12018
2001-04-20,Block_B_Valley,Clay Loam,28.8,192.4,78.5,12053
2001-04-22,Block_C_Hill,Laterite,30.1,161.3,79.4,12371
2001-04-23,Block_A_North,Sandy Loam,29.0,201.7,87.7,12417
2001-04-24,Block_A_North,Sandy Loam,30.4,193.3,82.4,12362
2001-04-25,Block_B_Valley,Clay Loam,30.3,182.9,84.7,11343
2001-04-26,Block_B_Valley,Clay Loam,32.1,212.8,75.2,10354
2001-04-28,Block_D_River,Alluvial,29.3,181.6,69.1,12291
2001-04-29,Block_C_Hill,Laterite,28.5,191.1,74.6,12147
2001-04-30,Block_B_Valley,Clay Loam,32.3,208.8,83.1,9908
2001-05-01,Block_D_River,Alluvial,26.6,133.2,70.3,13663
2001-05-03,Block_A_North,Sandy Loam,26.8,154.6,75.7,14743
2001-05-04,Block_B_Valley,Clay Loam,24.8,101.5,80.6,15069
2001-05-06,Block_C_Hill,Laterite,25.6,166.0,76.1,13793
2001-05-08,Block_C_Hill,Laterite,26.9,148.7,63.0,14943
2001-05-10,Block_B_Valley,Clay Loam,26.9,170.0,83.5,12715
2001-05-11,Block_A_North,Sandy Loam,26.9,174.2,73.1,14542
2001-05-13,Block_C_Hill,Laterite,27.2,133.6,85.8,13205
2001-05-15,Block_D_River,Alluvial,25.5,155.2,75.9,14144
2001-05-16,Block_A_North,Sandy Loam,28.0,148.5,75.1,13238
2001-05-18,Block_D_River,Alluvial,28.3,162.9,81.4,11962
2001-05-20,Block_C_Hill,Laterite,24.9,194.5,81.4,13448
2001-05-22,Block_A_North,Sandy Loam,27.7,171.6,77.7,14026
2001-05-23,Block_D_River,Alluvial,27.9,190.8,74.5,12323
2001-05-25,Block_C_Hill,Laterite,29.4,160.0,68.5,13000
2001-05-26,Block_A_North,Sandy Loam,27.4,178.3,73.1,14296
2001-05-27,Block_D_River,Alluvial,27.4,184.6,79.0,13353
2001-05-29,Block_A_North,Sandy Loam,27.4,168.5,82.9,13505
2001-05-30,Block_D_River,Alluvial,29.7,172.7,65.7,11826
2001-05-31,Block_C_Hill,Laterite,27.4,179.9,66.1,13782
2001-06-01,Block_B_Valley,Clay Loam,26.3,137.0,62.1,13538
2001-06-02,Block_D_River,Alluvial,23.9,107.1,75.5,14522
2001-06-03,Block_B_Valley,Clay Loam,24.5,122.0,64.9,14446
2001-06-05,Block_B_Valley,Clay Loam,26.6,192.4,73.0,13004
2001-06-07,Block_B_Valley,Clay Loam,23.7,108.8,75.1,14605
2001-06-09,Block_D_River,Alluvial,24.9,81.3,72.7,15393
2001-06-11,Block_C_Hill,Laterite,23.7,131.7,74.2,15171
2001-06-13,Block_B_Valley,Clay Loam,24.5,91.2,68.5,14947
2001-06-15,Block_D_River,Alluvial,23.9,101.2,78.0,13917
2001-06-17,Block_A_North,Sandy Loam,24.0,145.4,75.1,15229
2001-06-18,Block_A_North,Sandy Loam,25.8,119.0,70.2,15308
2001-06-20,Block_B_Valley,Clay Loam,25.0,107.0,72.5,14829
2001-06-22,Block_A_North,Sandy Loam,25.0,124.0,62.3,14640
2001-06-23,Block_C_Hill,Laterite,23.0,83.7,66.2,14191
2001-06-25,Block_A_North,Sandy Loam,25.6,107.6,78.8,16213
2001-06-27,Block_B_Valley,Clay Loam,23.6,145.7,79.4,13167
2001-06-29,Block_C_Hill,Laterite,26.0,99.8,74.8,15176
2001-06-30,Block_B_Valley,Clay Loam,24.6,148.5,76.2,14352
2001-07-01,Block_A_North,Sandy Loam,21.8,83.5,64.2,14870
2001-07-02,Block_C_Hill,Laterite,22.7,48.9,68.4,13978
2001-07-04,Block_A_North,Sandy Loam,21.5,71.8,64.5,14192
2001-07-06,Block_B_Valley,Clay Loam,19.1,114.5,66.7,12287
2001-07-07,Block_B_Valley,Clay Loam,22.8,29.2,68.1,13347
2001-07-09,Block_C_Hill,Laterite,22.6,78.7,72.4,14653
2001-07-10,Block_B_Valley,Clay Loam,23.9,66.6,64.2,14015
2001-07-11,Block_D_River,Alluvial,23.9,108.2,62.0,14644
2001-07-12,Block_C_Hill,Laterite,22.4,85.8,64.1,14872
2001-07-14,Block_C_Hill,Laterite,21.9,92.3,55.7,13466
2001-07-15,Block_A_North,Sandy Loam,23.0,66.2,67.8,14258
2001-07-16,Block_C_Hill,Laterite,21.2,92.8,63.1,14101
2001-07-18,Block_B_Valley,Clay Loam,24.2,99.9,50.7,14386
2001-07-19,Block_A_North,Sandy Loam,22.9,74.4,60.5,14395
2001-07-20,Block_C_Hill,Laterite,25.2,70.7,73.1,14655
2001-07-21,Block_B_Valley,Clay Loam,20.6,106.5,57.8,12637
2001-07-23,Block_D_River,Alluvial,22.6,86.3,74.2,13217
2001-07-25,Block_A_North,Sandy Loam,22.3,64.7,61.2,14663
2001-07-26,Block_A_North,Sandy Loam,23.0,60.9,70.0,14105
2001-07-27,Block_D_River,Alluvial,20.4,59.6,59.9,12190
2001-07-28,Block_C_Hill,Laterite,22.5,37.4,70.4,13556
2001-07-29,Block_A_North,Sandy Loam,20.8,77.3,63.8,13568
2001-07-31,Block_D_River,Alluvial,22.3,128.5,63.5,12807
